x_0^0.0 x_0^7.0
-0.721577 -1.486721
0.705045 -0.115203
0.041704 0.163880
-0.511072 0.480101
0.569144 1.454367
-0.313242 0.332092
-0.812403 -1.602172
-0.362887 2.041323
0.733235 -0.260682
0.617914 -1.542308
-0.075105 1.601923
-0.669276 2.128078
-0.255705 0.151213
0.862833 1.125035
-0.194415 0.071905
-0.554650 -1.410948
0.787446 -1.688121
-0.943307 -1.314302
-0.490299 -1.550351
-0.135990 -1.450877
-0.178468 1.647275
-0.238335 -1.514797
-0.180795 -1.234847
0.248364 -1.363634
-0.751489 -1.744248
-0.243209 0.319792
0.522814 1.513540
0.766712 -1.729624
0.384902 -0.181561
-0.169188 -1.415804
0.674182 1.415043
-0.460447 0.521555
0.275893 1.606467
-0.254029 1.652249
-0.497164 1.921314
-0.356379 -1.397166
-0.199112 0.142400
0.902151 -0.161208
0.716676 -1.816465
0.657822 -0.287268
-0.010001 -1.576200
-0.845466 2.834227
-0.063167 1.888459
-0.060365 0.423268
0.004167 -1.286422
-0.775709 -1.660777
-0.429872 0.559171
-0.911912 1.712609
-0.672669 -1.539130
0.190659 1.679241
-0.448697 -1.289273
-0.620514 1.877645
0.377230 -0.270312
0.664051 -0.066387
0.076688 0.044904
0.354690 -0.197532
-0.037839 1.614752
0.413726 1.623429
-0.297117 -1.551745
0.191773 0.005671
0.794194 -1.726898
0.459821 1.327330
0.998521 -0.043162
-0.984505 1.850419
-0.384944 0.376878
-0.061585 1.673109
0.314095 -1.356613
0.875105 -2.455765
0.399112 1.554011
-0.590392 -1.562807
0.174323 1.651207
0.764534 1.271765
-0.431454 -1.160049
0.702410 1.466568
0.299448 1.494640
-0.235822 1.846018
-0.810917 2.679659
0.876601 -2.254358
0.326339 1.545024
0.150967 1.447410
-0.289737 1.752628
0.430511 1.614675
-0.072789 1.714146
-0.846416 -1.609824
-0.027501 1.778119
-0.504966 -1.555537
0.213220 -0.109562
0.922192 0.968581
0.923861 -0.209589
0.427973 -1.202603
0.062171 -1.292734
-0.762826 -1.610229
0.772709 -0.164838
0.959198 0.560335
0.324002 1.639998
0.498917 1.505399
-0.851980 1.218960
0.835876 -2.227600
-0.265326 1.673390
-0.379213 -1.467899
0.247447 1.441550
0.778383 -1.819076
0.808548 1.155221
0.589997 -1.391070
-0.076141 0.213881
-0.518650 0.704082
-0.018715 1.614029
0.666155 1.479109
-0.805694 -1.708446
0.380578 1.420221
-0.160251 1.761964
0.454860 -0.072262
0.751062 -1.781187
0.955454 0.680057
0.402360 -1.544136
-0.576206 2.119708
